hand_id,date,position,vpip,pfr,3bet,invested,collected,showdown_cards,winner
257973235556,2025-10-02T20:39:54.000000,5,false,false,false,0.0,0.0,,false
257973262972,2025-10-02T20:42:01.000000,1,true,false,false,0.25,0.0,,false
257973267229,2025-10-02T20:42:21.000000,5,false,false,false,0.0,0.0,,false
257973276241,2025-10-02T20:43:03.000000,3,true,false,false,0.15,0.0,,false
257973295033,2025-10-02T20:44:30.000000,6,false,false,false,0.0,0.0,,false
257973314704,2025-10-02T20:46:01.000000,2,false,false,false,0.0,0.0,,false
257973327415,2025-10-02T20:46:59.000000,1,false,false,false,0.0,0.0,,false
257973354086,2025-10-02T20:49:00.000000,2,false,false,false,0.0,0.0,,false
257973371140,2025-10-02T20:50:18.000000,5,false,false,false,0.0,0.0,,false
257973389522,2025-10-02T20:51:43.000000,6,false,false,false,0.0,0.0,,false
257973402170,2025-10-02T20:52:40.000000,5,false,false,false,0.0,0.0,,false
257973416357,2025-10-02T20:53:44.000000,4,false,false,false,0.0,0.0,,false
257973423803,2025-10-02T20:54:19.000000,6,false,false,false,0.0,0.0,,false
257973443075,2025-10-02T20:55:59.000000,4,false,false,false,0.0,0.0,,false
257973441784,2025-10-02T20:55:51.000000,5,false,false,false,0.0,0.0,,false
257973444438,2025-10-02T20:56:08.000000,6,true,true,false,13.649999999999999,0.0,QQ,false
257973457445,2025-10-02T20:57:31.000000,2,true,true,true,4.67,8.97,6As,true
257973472422,2025-10-02T20:59:06.000000,2,true,true,false,0.96,1.82,9As,true
257973479108,2025-10-02T20:59:50.000000,6,true,true,false,0.1,0.25,,true
257973480934,2025-10-02T21:00:01.000000,4,false,false,false,0.0,0.0,,false
257973484514,2025-10-02T21:00:24.000000,5,false,false,false,0.0,0.0,,false
257973485480,2025-10-02T21:00:30.000000,2,false,false,false,0.0,0.0,,false
257973487058,2025-10-02T21:00:39.000000,2,false,false,false,0.0,0.0,,false
257973491322,2025-10-02T21:01:03.000000,6,false,false,false,0.0,0.0,,false
257973492013,2025-10-02T21:01:07.000000,4,false,false,false,0.0,0.0,,false
257973492707,2025-10-02T21:01:11.000000,6,false,false,false,0.0,0.0,,false
257973518626,2025-10-02T21:03:15.000000,3,false,false,false,-0.05,0.1,,true
257973557830,2025-10-02T21:06:09.000000,1,true,true,true,2.8,0.0,,false
257973573155,2025-10-02T21:07:15.000000,3,false,false,false,0.0,0.0,,false
257973577489,2025-10-02T21:07:34.000000,6,false,false,false,0.0,0.0,,false
257973578801,2025-10-02T21:07:39.000000,2,false,false,false,0.0,0.0,,false
257973581908,2025-10-02T21:07:52.000000,1,false,false,false,0.0,0.0,,false
257973597378,2025-10-02T21:08:59.000000,4,false,false,false,0.0,0.0,,false
257973614445,2025-10-02T21:10:12.000000,1,false,false,false,0.0,0.0,,false
257973624850,2025-10-02T21:10:57.000000,1,false,false,false,0.0,0.0,,false
257973623537,2025-10-02T21:10:51.000000,4,false,false,false,0.0,0.0,,false
257973646239,2025-10-02T21:12:29.000000,3,false,false,false,-0.05,0.1,,true
257973648976,2025-10-02T21:12:41.000000,2,false,false,false,0.0,0.0,,false
257973652930,2025-10-02T21:12:58.000000,2,false,false,false,0.0,0.0,,false
257973697686,2025-10-02T21:16:10.000000,2,false,false,false,0.0,0.0,,false
257973701578,2025-10-02T21:16:27.000000,4,false,false,false,0.0,0.0,,false
257973708363,2025-10-02T21:16:56.000000,3,true,false,false,0.2,0.0,,false
257973707012,2025-10-02T21:16:51.000000,6,false,false,false,0.0,0.0,,false
257982068134,2025-10-03T14:49:12.000000,6,false,false,false,0.0,0.0,,false
257982442283,2025-10-03T15:36:11.000000,6,false,false,false,0.0,0.0,,false
257982457057,2025-10-03T15:37:53.000000,1,false,false,false,0.0,0.0,,false
258134981685,2025-10-15T19:15:39.000000,1,true,false,false,12.969999999999999,25.04,3As,true
258134997809,2025-10-15T19:16:59.000000,6,false,false,false,0.0,0.0,,false
258134998670,2025-10-15T19:17:03.000000,5,false,false,false,0.0,0.0,,false
258135030218,2025-10-15T19:19:37.000000,5,false,false,false,0.0,0.0,,false
258135037565,2025-10-15T19:20:13.000000,1,true,true,true,0.25,0.65,,true
258135054904,2025-10-15T19:21:36.000000,3,true,true,true,0.20000000000000007,0.45,,true
258135051951,2025-10-15T19:21:22.000000,2,false,false,false,0.0,0.0,,false
258135079143,2025-10-15T19:23:33.000000,4,true,true,false,0.2,0.0,,false
258135104940,2025-10-15T19:25:37.000000,6,false,false,false,0.0,0.0,,false
258132962905,2025-10-15T16:00:38.000000,2,false,false,false,0.0,0.0,,false
258132967613,2025-10-15T16:01:12.000000,2,true,true,true,2.8000000000000003,0.0,,false
258132972378,2025-10-15T16:01:43.000000,5,false,false,false,0.0,0.0,,false
258132973409,2025-10-15T16:01:50.000000,4,true,true,false,0.25,0.0,,false
258132988034,2025-10-15T16:03:25.000000,3,false,false,false,0.0,0.0,,false
258133001374,2025-10-15T16:04:52.000000,3,true,false,false,0.7,1.57,8Ao,true
258133007249,2025-10-15T16:05:29.000000,5,false,false,false,0.0,0.0,,false
258133005208,2025-10-15T16:05:16.000000,3,true,false,false,0.6000000000000001,1.38,74s,true
258131833251,2025-10-15T13:38:04.000000,2,false,false,false,0.0,0.0,,false
258131830537,2025-10-15T13:37:40.000000,3,true,false,false,0.15,0.0,,false
258131834211,2025-10-15T13:38:13.000000,3,true,true,true,0.22000000000000064,0.49,,true
258131836739,2025-10-15T13:38:34.000000,6,false,false,false,0.0,0.0,,false
258131839777,2025-10-15T13:39:00.000000,4,false,false,false,0.0,0.0,,false
258131850664,2025-10-15T13:40:32.000000,4,false,false,false,0.0,0.0,,false
258131851327,2025-10-15T13:40:38.000000,1,false,false,false,0.0,0.0,,false
258131857096,2025-10-15T13:41:26.000000,2,true,true,true,3.2,0.0,,false
258132492474,2025-10-15T15:06:14.000000,5,false,false,false,0.0,0.0,,false
258132507742,2025-10-15T15:08:03.000000,3,true,false,false,0.2,0.0,,false
258132514498,2025-10-15T15:08:51.000000,6,false,false,false,0.0,0.0,,false
258132514925,2025-10-15T15:08:54.000000,4,false,false,false,0.0,0.0,,false
258132523938,2025-10-15T15:09:59.000000,3,false,false,false,0.0,0.0,,false
258132525135,2025-10-15T15:10:07.000000,1,true,true,false,0.1,0.25,,true
258132532656,2025-10-15T15:11:01.000000,5,false,false,false,0.0,0.0,,false
258132532113,2025-10-15T15:10:57.000000,1,false,false,false,0.0,0.0,,false
258132533322,2025-10-15T15:11:05.000000,6,true,true,true,2.4,0.0,,false
258132540563,2025-10-15T15:11:57.000000,3,false,false,false,0.0,0.0,,false
258108704313,2025-10-13T13:26:10.000000,4,false,false,false,0.0,0.0,,false
